id,username,password,first_name,last_name,status,gender,age,email,activation_code,activation,activation_schoolclick,permission
3001,1107,1107,anun,azganun,teacher,non,7,armtab,000001,yes,0,user
3002,00116,00116,anun,azganun,pupil,non,7,armtab,000002,yes,0,user
3003,00124,00124,anun,azganun,pupil,non,7,armtab,000003,yes,0,user
3004,00125,00125,anun,azganun,pupil,non,7,armtab,000004,yes,0,user
3005,00126,00126,anun,azganun,pupil,non,7,armtab,000005,yes,0,user
3006,00127,00127,anun,azganun,pupil,non,7,armtab,000006,yes,0,user
3007,00129,00129,anun,azganun,pupil,non,7,armtab,000007,yes,0,user
3008,00128,00128,anun,azganun,pupil,non,7,armtab,000008,yes,0,user
3009,00130,00130,anun,azganun,pupil,non,7,armtab,000009,yes,0,user
3010,1121,1121,anun,azganun,pupil,non,7,armtab,000010,yes,0,user
3011,1108,1108,anun,azganun,pupil,non,7,armtab,000011,yes,0,user
3012,1124,1124,anun,azganun,pupil,non,7,armtab,000012,yes,0,user
3013,1110,1110,anun,azganun,pupil,non,7,armtab,000013,yes,0,user
3014,1111,1111,anun,azganun,pupil,non,7,armtab,000014,yes,0,user
3015,1112,1112,anun,azganun,pupil,non,7,armtab,000015,yes,0,user
3016,1113,1113,anun,azganun,pupil,non,7,armtab,000016,yes,0,user
3017,1114,1114,anun,azganun,pupil,non,7,armtab,000017,yes,0,user
3018,1115,1115,anun,azganun,pupil,non,7,armtab,000018,yes,0,user
3019,1116,1116,anun,azganun,pupil,non,7,armtab,000019,yes,0,user
3020,1117,1117,anun,azganun,pupil,non,7,armtab,000020,yes,0,user
3021,1118,1118,anun,azganun,pupil,non,7,armtab,000021,yes,0,user
3022,1119,1119,anun,azganun,pupil,non,7,armtab,000022,yes,0,user
3023,1120,1120,anun,azganun,pupil,non,7,armtab,000023,yes,0,user
3024,1109,1109,anun,azganun,pupil,non,7,armtab,000024,yes,0,user
3025,1122,1122,anun,azganun,pupil,non,7,armtab,000025,yes,0,user
3026,1123,1123,anun,azganun,pupil,non,7,armtab,000026,yes,0,user
